Индекс ВМО,Наименование станции,Широта,Долгота,Высота метеопл.,Начало наблюдений,Примечание
20046.0,Им.Э.Т.Кренкеля,80.61666666666666,58.05,21.0,1957.0,
20069.0,Остров Визе,79.5,76.98333333333333,12.0,1945.0,
20087.0,Им.Г.А.Ушакова (Голомянный),79.55,90.61666666666666,7.0,1930.0,До 2015г. наз. Остров Голомянный
20107.0,Баренцбург,78.06666666666666,14.25,73.0,1940.0,
20289.0,Русский,77.16666666666667,96.43333333333334,9.0,1935.0,Закрыта в 1999г.
20292.0,"Им.Е.К.Федорова, ОГМС",77.71666666666667,104.3,14.0,1932.0,До 17.01.1983г. наз. мыс Челюскин
20476.0,Стерлегова,75.41666666666667,88.9,10.0,1934.0,
20667.0,Им. М.В.Попова,73.33333333333333,70.05,4.0,1940.0,
20674.0,Остров Диксон,73.51666666666667,80.4,42.0,1916.0,
20744.0,Малые Кармакулы,72.36666666666666,52.71666666666667,18.0,1876.0,
20891.0,Хатанга,71.98333333333333,102.46666666666667,31.0,1906.0,12.01.1951г. перенос на 800м к ЮЮЗ
20946.0,Им. Е.К.Федорова,70.45,59.083333333333336,13.0,1959.0,До 1983г. наз. Болванский Нос
20982.0,Волочанка,70.96666666666667,94.5,37.0,1933.0,
21432.0,Остров Котельный,76.0,137.86666666666667,12.0,1933.0,14.09.2003г. перенос на 1.2км к З
21611.0,Терпяй-Тумса,73.55,118.66666666666667,12.0,1959.0,Законсервирована в 1997 г.
21647.0,Шалаурова,73.18333333333334,143.23333333333332,21.0,1928.0,Законсервирована в 2000 г.
21802.0,Саскылах,71.96666666666667,114.08333333333333,16.0,1935.0,01.02.1964г. перенос на 5км к Ю
21824.0,Тикси,71.58333333333333,128.91666666666666,6.0,1932.0,
21908.0,Джалинда,70.13333333333334,113.96666666666667,61.0,1942.0,
21921.0,Кюсюр,70.68333333333334,127.4,30.0,1909.0,
21931.0,Юбилейная,70.76666666666667,136.21666666666667,23.0,1934.0,11.05.1969г. перенос на 7км к СЗС
21946.0,Чокурдах,70.61666666666666,147.88333333333333,44.0,1939.0,20.05.1955г. перенос на 800м к ССВ.
21982.0,Остров Врангеля,70.98333333333333,181.51666666666668,18.0,1926.0,"Переносы: в 1929г. с берега на косу (1км), в 1932г. на старое место, в 1934г. с берега на косу, в 2010г. на ЮВ часть коренного берега о.Врангеля"
22003.0,Вайда-Губа,69.93333333333334,31.983333333333334,8.0,1961.0,
22019.0,Полярное,69.2,33.483333333333334,32.0,1985.0,
22028.0,Териберка,69.2,35.11666666666667,33.0,1983.0,
22095.0,Колгуев Северный,69.53333333333333,49.083333333333336,23.0,1971.0,1971г. - перенос на 11км к ЮВ
22101.0,Янискоски,68.96666666666667,28.783333333333335,99.0,1961.0,1965г.- ст. сгорела; 1969г.- открыта в 7км к СВ
22113.0,Мурманск,68.96666666666667,33.05,57.0,1966.0,
22140.0,Святой Нос,68.15,39.766666666666666,12.0,1985.0,
22165.0,Канин Нос,68.65,43.3,48.0,1966.0,
22204.0,Ковдор,67.56666666666666,30.45,246.0,1961.0,Перенос 27.09.1965г. на 1км к СВ
22217.0,Кандалакша,67.15,32.35,26.0,1966.0,
22235.0,Краснощелье,67.35,37.05,155.0,1971.0,
22249.0,Каневка,67.13333333333334,39.666666666666664,149.0,1971.0,
22271.0,Шойна,67.88333333333334,44.166666666666664,5.0,1971.0,
22292.0,Индига,67.68333333333334,48.68333333333333,3.0,1971.0,
22324.0,Умба,66.68333333333334,34.35,39.0,1971.0,
22355.0,Сосновец остров,66.48333333333333,40.68333333333333,15.0,1961.0,
22408.0,Калевала,65.21666666666667,31.15,118.0,1951.0,Перенос в 05.1964г. на 1км к З
22422.0,Гридино,65.9,34.766666666666666,9.0,1966.0,
22438.0,Жижгин,65.2,36.81666666666667,26.0,1961.0,
22471.0,Мезень,65.86666666666666,44.21666666666667,14.0,1971.0,
22520.0,Кемь порт,64.98333333333333,34.8,7.0,1966.0,
22550.0,Архангельск,64.5,40.733333333333334,8.0,1966.0,
22583.0,Койнас,64.75,47.65,63.0,1961.0,
22602.0,Реболы,63.833333333333336,30.816666666666666,180.0,1914.0,Перенос в1928г. на 1.5км к Ю
22619.0,Паданы,63.266666666666666,33.416666666666664,130.0,1951.0,
22641.0,Онега,63.9,38.11666666666667,11.0,1966.0,
22676.0,Сура,63.583333333333336,45.63333333333333,62.0,1971.0,
22768.0,Шенкурск,62.1,42.9,40.0,1971.0,
22802.0,Сортавала,61.71666666666667,30.716666666666665,17.0,1949.0,
22820.0,Петрозаводск,61.81666666666667,34.266666666666666,110.0,1949.0,Перенос в 06.1954г. на 1км к СВ
22837.0,Вытегра,61.016666666666666,36.45,55.0,1936.0,
22845.0,Каргополь,61.5,38.93333333333333,124.0,1971.0,
22854.0,Няндома,61.666666666666664,40.18333333333333,232.0,1961.0,
22887.0,Котлас,61.233333333333334,46.71666666666667,55.0,1966.0,
22892.0,Выборг,60.71666666666667,28.733333333333334,10.0,1951.0,
22907.0,Гогланд,60.083333333333336,26.983333333333334,5.0,1952.0,
22981.0,Великий Устюг,60.766666666666666,46.3,94.0,1961.0,
23022.0,Амдерма,69.76666666666667,61.68333333333333,53.0,1961.0,
23032.0,Марресаля,69.71666666666667,66.8,24.0,1961.0,
23058.0,Антипаюта,69.08333333333333,76.85,2.0,1961.0,
23074.0,Дудинка,69.4,86.16666666666667,14.0,1966.0,"27.09.2012г. прекращены наблюдения, 01.03.2015г. закрыта"
23114.0,Мыс Константиновский,68.55,55.5,5.0,1961.0,
23205.0,Нарьян-Мар,67.63333333333334,53.03333333333333,5.0,1966.0,
23219.0,Хоседа-Хард,67.08333333333333,59.38333333333333,82.0,1966.0,Закрыта 18.04.2016г.
23220.0,Елецкая,67.05,64.06666666666666,113.0,1961.0,
23242.0,Новый Порт,67.68333333333334,72.88333333333334,11.0,1961.0,
23256.0,Тазовский,67.48333333333333,78.71666666666667,26.0,1961.0,
23274.0,Игарка,67.46666666666667,86.56666666666666,25.0,1971.0,
23324.0,Петрунь,66.43333333333334,60.766666666666666,61.0,1971.0,
23330.0,Салехард,66.53333333333333,66.66666666666667,15.0,1961.0,"Перенос: 31.08.1973г. на 2км к В, 30.05.2002г. на 2км к В"
23331.0,Ра-Из,66.9,65.66666666666667,895.0,1961.0,"С 01.01.1998г. законсервирована, 01.08.2011г. закрыта"
23345.0,Ныда,66.61666666666666,72.9,5.0,1961.0,"Переносы: 22.09.1962г. на 4км к ЮЗ, 03.07.1988г. на 1км к ЗЮЗ"
23365.0,Сидоровск,66.6,82.3,34.0,1961.0,"С 01.09.1997г. законсервирована, с 01.08.2011г. закрыта"
23383.0,Агата,66.88333333333334,93.46666666666667,277.0,1971.0,
23405.0,Усть-Цильма,65.43333333333334,52.266666666666666,78.0,1966.0,
23412.0,Усть-Уса,65.96666666666667,56.916666666666664,77.0,1961.0,
23418.0,Печора,65.11666666666666,57.1,53.0,1966.0,Перенос в 1973г. на 1.2км к ССЗ
23445.0,Надым,65.48333333333333,72.68333333333334,14.0,1961.0,"Переносы: 26.09.1963г. на 10км к ЮЗ, 22.10.1977г. на 10км к ЮВ"
23463.0,Янов Стан,65.98333333333333,84.26666666666667,41.0,1971.0,
23472.0,Туруханск,65.78333333333333,87.93333333333334,38.0,1936.0,"Переносы: 10.08.1953г. на 1.5км к СЗ, в 08.1959г. на 4км к ЮВ"
23514.0,Ираель,64.51666666666667,55.4,156.0,1961.0,
23527.0,Саранпауль,64.28333333333333,60.88333333333333,28.0,1961.0,
23552.0,Тарко-Сале,64.91666666666667,77.76666666666667,26.0,1961.0,"Переносы: в 07.1967г. на 2км к С, 07.10.1992г. на 1.5км к ЮЗ"
23589.0,Тутончаны,64.2,93.78333333333333,105.0,1961.0,
23631.0,Березово,63.916666666666664,65.03333333333333,27.0,1937.0,"Переносы: в 10.1969г. на 2км к ЮЮЗ, 30.06.1983г. на 1.5км к ЮЗ"
23656.0,Халясавэй,63.38333333333333,78.31666666666666,66.0,1961.0,В 1993-1996гг. была законсервирована
23662.0,Толька,64.0,82.05,31.0,1961.0,
23678.0,Верхнеимбатск,63.15,87.95,46.0,1971.0,
23707.0,Усть-Вымь,62.233333333333334,50.416666666666664,107.0,1961.0,
23711.0,Троицко-Печорск,62.7,56.2,134.0,1966.0,
23724.0,Няксимволь,62.43333333333333,60.86666666666667,50.0,1941.0,
23734.0,Октябрьское,62.45,66.05,70.0,1961.0,Перенос 12.08.1962г. на 1.5км к С
23804.0,Сыктывкар,61.68333333333333,50.78333333333333,116.0,1966.0,В 1982г. перенос из аэропорта на территорию ГМО
23867.0,Ларьяк,61.1,80.25,55.0,1961.0,
23884.0,Бор,61.6,90.01666666666667,62.0,1936.0,"Переносы: 15.10.1957г. на 1.5км к В, 22.10.1976г. на 2.5км к ЮВ"
23891.0,Байкит,61.666666666666664,96.36666666666666,247.0,1939.0,
23904.0,Койгородок,60.45,50.96666666666667,124.0,1961.0,
23914.0,Чердынь,60.4,56.516666666666666,208.0,1966.0,
23921.0,Ивдель,60.68333333333333,60.45,93.0,1936.0,Перенос 31.10.1959г. на 3.5км к ЮВ
23933.0,Ханты-Мансийск,61.03333333333333,69.11666666666666,44.0,1962.0,"Перенос 20.09.2006г., коорд. стали: 61°01′-69°07′. В 2015г. координаты стали 61°02′-69°07′"
23946.0,Угут,60.5,74.01666666666667,47.0,1961.0,
23955.0,Александровское,60.43333333333333,77.86666666666666,47.0,1936.0,"Переносы: 29.09.1954г. на 1.5км к СЗ, 1.07.1959г. на 3км к СЗ"
23966.0,Ванжиль-Кынак,60.35,84.08333333333333,98.0,1971.0,
23986.0,Северо-Енисейский,60.38333333333333,93.03333333333333,513.0,1971.0,
24076.0,Депутатский,69.38333333333334,139.88333333333333,281.0,1961.0,
24105.0,Ессей,68.46666666666667,102.36666666666666,272.0,1966.0,Законсервирована с 25.12.1998г.
24125.0,Оленек,68.51666666666667,112.48333333333333,195.0,1937.0,Перенос в 03.1965г. на 2 км к ВСВ
24136.0,Сухана,68.61666666666666,118.33333333333333,78.0,1961.0,
24143.0,Джарджан,68.73333333333333,124.0,38.0,1966.0,
24266.0,Верхоянск,67.56666666666666,133.4,136.0,1936.0,"Переносы: 30.10.1940г. на 1.5км к ССВ, 27.04.1947г. на 2.5км к ЮЮВ в р-н аэропорта, 06.09.1999г. из аэропорта на АЭ на 2.5-3км к ЮЗ"
24329.0,Шелагонцы,66.25,114.28333333333333,233.0,1966.0,
24343.0,Жиганск,66.78333333333333,123.36666666666666,88.0,1936.0,Перенос 4.09.1957г. на 1км к СЗ
24371.0,Усть-Чаркы,66.8,136.68333333333334,274.0,1961.0,
24382.0,Усть-Мома,66.45,143.21666666666667,195.0,1961.0,
24507.0,Тура (Эвенкийский),64.26666666666667,100.23333333333333,188.0,1936.0,Перенос 25.07.1962г. на 500м к СВ
24538.0,Чумпурук,64.23333333333333,116.91666666666667,137.0,1961.0,
24606.0,Кислокан,63.583333333333336,103.96666666666667,209.0,1971.0,
24641.0,Вилюйск,63.78333333333333,121.61666666666666,111.0,1936.0,Перенос 10.11.1956г. на 1км к ЮВ
24643.0,Хатырык-Хомо,63.95,124.83333333333333,76.0,1961.0,
24661.0,Сеген-Кюель,64.0,130.3,208.0,1961.0,
24671.0,Томпо,63.95,135.86666666666667,399.0,1961.0,
24688.0,Оймякон,63.25,143.15,740.0,1939.0,
24713.0,Наканно,62.88333333333333,108.43333333333334,246.0,1961.0,
24726.0,Мирный,62.53333333333333,113.86666666666666,351.0,1961.0,
24738.0,Сунтар,62.166666666666664,117.63333333333334,130.0,1936.0,"Переносы: 21.09.1960г. на 1.5км к СВ, 10.09.1973г. на 2.5км к С"
24763.0,Крест-Хальджай,62.8,134.48333333333332,130.0,1961.0,
24790.0,Сусуман,62.78333333333333,148.16666666666666,646.0,1961.0,
24802.0,Стрелка Чуня,61.75,102.8,357.0,1961.0,
24817.0,Ербогачён,61.266666666666666,108.01666666666667,284.0,1941.0,
24908.0,Ванавара,60.333333333333336,102.3,259.0,1936.0,Перенос 01.10.1956г. на 1км к ЮВ
24923.0,Ленск,60.733333333333334,114.83333333333333,238.0,1961.0,Переносы: 04.10.1981г. на 1км к СВ
24933.0,Килеер,60.95,119.3,247.0,1961.0,
24944.0,Олекминск,60.4,120.41666666666667,225.0,1936.0,"Переносы: с 08.1938г. на 1.5км к ЮВ, с 01.1945г. в 4км к ССВ"
24951.0,Исить,60.81666666666667,125.31666666666666,123.0,1961.0,Переносы: 16.10.2002г. на 1.5км к ЗСЗ
24959.0,Якутск,62.0,129.66666666666666,98.0,1936.0,Перенос: 01.11.1964г. на 700-800м к СЗ
24966.0,Усть-Мая,60.35,134.45,171.0,1936.0,15.09.1943г. перенос в с. Чаран (бывшее с. Петропавловское)
24967.0,Тегюлтя,60.46666666666667,130.0,173.0,1961.0,
24982.0,Уега,60.71666666666667,142.78333333333333,396.0,1961.0,
25034.0,Бухта Амбарчик,69.61666666666666,162.3,24.0,1933.0,
25042.0,Им. В.С.Сидорова (Айон),69.93333333333334,167.98333333333332,13.0,1942.0,
25062.0,Мыс Биллингса,69.88333333333334,175.76666666666668,2.0,1935.0,
25138.0,Островное,68.11666666666666,164.16666666666666,98.0,1933.0,
25173.0,Мыс Шмидта,68.9,-178.36666666666667,2.0,1932.0,Перенос в 1953 г. на 7км к В. Законсервирована с 01.09.2013г.
25206.0,Среднеколымск,67.45,153.71666666666667,20.0,1887.0,
25248.0,Илирней,67.25,167.96666666666667,352.0,1944.0,"С 07.10.2015г. наблюдения прекращены, нет штата."
25282.0,Мыс Ванкарем,67.83333333333333,-174.16666666666666,3.0,1934.0,
25325.0,Усть-Олой,66.55,159.41666666666666,127.0,1943.0,С 19.08.2013г. временно законсервирована
25356.0,Эньмувеем,66.38333333333334,173.33333333333334,78.0,1946.0,
25372.0,"Амгуэма,87км",67.01666666666667,-177.06666666666666,139.0,1951.0,Законсервирована с 01.09.1995 г.
25378.0,Эгвекинот,66.35,-178.88333333333333,18.0,1950.0,Перенос 19.12.1957г. на 9км к С
25399.0,Уэлен,66.16666666666667,-168.16666666666666,5.0,1918.0,
25400.0,Зырянка,65.73333333333333,150.9,41.0,1935.0,12.08.1937г. перенос на 16.6км к Ю в п.Зырянка
25428.0,Омолон,65.23333333333333,160.53333333333333,260.0,1944.0,Перенос 25.12.1953г. на 1км к Ю
25503.0,Коркодон,64.75,153.96666666666667,97.0,1935.0,Перенос 02.09.1940г. на 7км вверх по течению р.Колымы к устью р.Коркодон
25538.0,Верхне-Пенжино,64.21666666666667,164.23333333333332,324.0,1944.0,
25551.0,Марково,64.68333333333334,170.41666666666666,25.0,1894.0,"Перенос в 1940г. на 25км к В, в 10.1942г. обратно в Марково"
25563.0,Анадырь,64.78333333333333,177.56666666666666,64.0,1889.0,Переносы: в 1913г. на 5км к ЮЗ (из п.Комбинат в п.Анадырь) и 1.12.1935г. обратно
25594.0,Бухта Провидения,64.38333333333334,-172.76666666666668,25.0,1934.0,"В 1938г. перенос в р-н аэропорта (на другой берег реки), в 1940г. в с.Урелики, в 2001г. в аэропорт Провидения. С 01.09.2013г. законсервирована"
25621.0,Кедон,64.0,158.91666666666666,682.0,1945.0,Законсервирована с 01.08.2003г.
25656.0,Березово,63.45,172.7,200.0,1944.0,Законсервирована с 03.05.1995г.
